code;name;sell_price;buy_price
SE-00022;RECARGA EXTINTOR CO2 6 Kg.;49920;0
SE-00023;RECARGA EXTINTOR CO2 10 Kg.;83200;0
SE-00025;RECARGA EXTINTOR ESPUMA MECANICA DE 6 KG  3%;7150;0
SE-00028;RECARGA EXTINTOR ESPUMA MECANICA DE 10 KG  3%;8980;0
SE-00029;RECARGA EXTINTOR ESPUMA MECANICA DE 10 KG  6%;9580;0
SE-00032;RECARGA EXTINTOR AGUA PRESURIZADA DE 10 KG ;9800;0
LT-00001;LETREROS ADHESIVOS EN PVC;2045;0
LT-00003;LETREROS FOTOLUMINISCENTES;8520;0
VP-RBM11;"VALVULA REDUCTORA DE PRESION 2""  (150 Lbs)) RBM ITALIA";55664;0
VP-RBM12;"VALVULA REDUCTORA DE PRESION 1""-3/4-1/2  ";43168;0
VP-RBM13;VALVULA BRONCE  REDUCTORA DE PRESION 1/2'' ;18390;0
VP-RBM14;VALVULA BRONCE REDUCTORA DE PRESION 3/4'';21940;0
VP-RBM16;VALVULA BRONCE REDUCTORA DE PRESION 1 1/4'';77958;0
VP-RBM17;VALVULA BRONCE REDUCTORA DE PRESION 1 1/2'';90738;0
VP-RBM18;"VALVULA BRONCE REDUCTORA DE PRESION 2""";122006;0
VP-RBM19;"VALVULA BRONCE REDUCTORA DE PRESION 2.1/2""";640732;0
VP-RBM20;"VALVULA BRONCE REDUCTORA DE PRESION 3""";805793;0
VP-RBM21;"VALVULA BRONCE REDUCTORA DE PRESION 4""";1267706;0
VP-00001;"VALVULA BRONCE DE BOLA PASO TOTAL 3/8""";2018;0
VP-00002;"VALVULA BRONCE DE BOLA PASO TOTAL 1/2""";2358;0
VP-00003;"VALVULA BRONCE DE BOLA PASO TOTAL 3/4""";3794;0
VP-00004;"VALVULA BRONCE DE BOLA PASO TOTAL 1""";4955;0
VP-00005;"VALVULA BRONCE DE BOLA PASO TOTAL 1.1/4""";7571;0
VP-00006;"VALVULA BRONCE DE BOLA PASO TOTAL 1.1/2""";11653;0
VP-00008;"VALVULA BRONCE DE BOLA PASO TOTAL 2.1/2""";38516;0
VP-00009;"VALVULA BRONCE DE BOLA PASO TOTAL 3""";45980;0
VP-00010;"VALVULA BRONCE DE BOLA PASO TOTAL 4""";74800;0
VC-00001;"VALVULA DE COMPUERTA PASO TOTAL DE  BRONCE 1/2""";5399;0
VC-00002;VALVULA DE COMPUERTA PASO TOTAL DE  BRONCE 3/4'';7503;0
VC-00003;VALVULA DE COMPUERTA PASO TOTAL DE  BRONCE 1'';10378;0
VC-00004;VALVULA DE COMPUERTA PASO TOTAL DE  BRONCE 11/4'';15007;0
VC-00005;VALVULA DE COMPUERTA PASO TOTAL DE  BRONCE 1 1/2'';19635;0
VC-00006;VALVULA DE COMPUERTA PASO TOTAL DE  BRONCE 2'';28610;0
